entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_parrains_nid
node;imprimeur_lithographe;0;22664;22664;und;2;21558
node;imprimeur_lithographe;0;22669;22669;und;0;22339
node;imprimeur_lithographe;0;22669;22669;und;1;22342
node;imprimeur_lithographe;0;22669;22669;und;2;22734
node;imprimeur_lithographe;0;22669;22669;und;3;22710
node;imprimeur_lithographe;0;22670;22670;und;0;23179
node;imprimeur_lithographe;0;22670;22670;und;1;21566
node;imprimeur_lithographe;0;22670;22670;und;2;22418
node;imprimeur_lithographe;0;22671;22671;und;0;22797
node;imprimeur_lithographe;0;22671;22671;und;1;22341
node;imprimeur_lithographe;0;22671;22671;und;2;21885
node;imprimeur_lithographe;0;22671;22671;und;3;22658
node;imprimeur_lithographe;0;22674;22674;und;0;23177
node;imprimeur_lithographe;0;22674;22674;und;1;21980
node;imprimeur_lithographe;0;22674;22674;und;2;22099
node;imprimeur_lithographe;0;22675;22675;und;0;23022
node;imprimeur_lithographe;0;22675;22675;und;1;22085
node;imprimeur_lithographe;0;22675;22675;und;2;22548
node;imprimeur_lithographe;0;22677;22677;und;0;21572
node;imprimeur_lithographe;0;22677;22677;und;1;22355
node;imprimeur_lithographe;0;22677;22677;und;2;22942
node;imprimeur_lithographe;0;22678;22678;und;0;22141
node;imprimeur_lithographe;0;22678;22678;und;1;21586
node;imprimeur_lithographe;0;22678;22678;und;2;22089
node;imprimeur_lithographe;0;22678;22678;und;3;23204
node;imprimeur_lithographe;0;22679;22679;und;0;22540
node;imprimeur_lithographe;0;22679;22679;und;1;22954
node;imprimeur_lithographe;0;22679;22679;und;2;22400
node;imprimeur_lithographe;0;22679;22679;und;3;23146
node;imprimeur_lithographe;0;22681;22681;und;0;22748
node;imprimeur_lithographe;0;22681;22681;und;1;25797
node;imprimeur_lithographe;0;22681;22681;und;2;22113
node;imprimeur_lithographe;0;22681;22681;und;3;22658
